cell_type,0
hematopoietic stem cell,60
fibroblast,276
mesothelial cell,230
T cell,500
mast cell,6623
club cell,36023
myofibroblast cell,716
smooth muscle cell,556
B cell,4511
serous secreting cell,1472
mucus secreting cell,537
dendritic cell,312
stromal cell,335
alveolar macrophage,78816
acinar cell,1274
natural killer cell,16978
"CD4-positive, alpha-beta T cell",21285
"CD8-positive, alpha-beta T cell",29074
plasmacytoid dendritic cell,552
plasma cell,1773
classical monocyte,17695
elicited macrophage,28223
non-classical monocyte,8834
conventional dendritic cell,322
type I pneumocyte,7937
type II pneumocyte,62405
brush cell of trachebronchial tree,165
endothelial cell of lymphatic vessel,4595
capillary endothelial cell,23205
ciliated columnar cell of tracheobronchial tree,35225
CD1c-positive myeloid dendritic cell,9133
nasal mucosa goblet cell,35833
vein endothelial cell,12975
epithelial cell of lower respiratory tract,4393
respiratory basal cell,80113
ionocyte,561
multi-ciliated epithelial cell,5873
lung pericyte,3032
epithelial cell of alveolus of lung,1440
tracheobronchial serous cell,1417
tracheobronchial goblet cell,968
tracheobronchial smooth muscle cell,2996
lung neuroendocrine cell,159
bronchial goblet cell,1670
pulmonary artery endothelial cell,7391
lung macrophage,4805
bronchus fibroblast of lung,1573
alveolar type 1 fibroblast cell,5182
alveolar type 2 fibroblast cell,10321
respiratory hillock cell,4600
